Name	ID	Transect	Topography	Elevation	Long	Lat	PPT_At	PPT_Sm	PPT_Sp	PPT_Wt	Tmax_At	Tmax_Sm	Tmax_Sp	Tmax_Wt	Tmin_At	Tmin_Sm	Tmin_Sp	Tmin_Wt	H_Index	PC1	Pg.03r201021s000001_527438_G	Pg.03r201021s000001_527441_C	Pg.03r201021s000001_527450_C	Pg.03r201021s000001_527476_G	Pg.03r201021s000001_527484_G	Pg.03r201021s000001_527580_T	Pg.03r201021s000001_527585_T	Pg.03r201021s000001_527769_A	Pg.03r201021s000001_527789_A	Pg.03r201021s000001_1243804_G	Pg.03r201021s000001_1243887_A	Pg.03r201021s000001_1243909_G	Pg.03r201021s000001_1243910_C	Pg.03r201021s000001_1243980_T	Pg.03r201021s000001_1243981_A	Pg.03r201021s000001_1244116_A	Pg.03r201021s000001_1244125_T	Pg.03r201021s000001_1244179_G	Pg.03r201021s000001_1244230_T	Pg.03r201021s000001_1244266_T	Pg.03r201021s000001_1244270_A	Pg.03r201021s000001_1244273_A	Pg.03r201021s000001_1244308_T	Pg.03r201021s000001_1244375_A	Pg.03r201021s000001_1244389_G	Pg.03r201021s000001_1244396_A	Pg.03r201021s000001_1244398_C	Pg.03r201021s000001_1814892_C	Pg.03r201021s000001_1814971_A	Pg.03r201021s000001_1814993_T	Pg.03r201021s000001_1814995_T
CAL_105502_P001_WA11	 9.3.1	2.Cathedral	N	High	-116.327133	51.445664	297	291	200	350	2.200000048	14.30000019	3.299999952	-7.800000191	-5.5	3.700000048	-6.699999809	-16.60000038	0.873	0.0545336	0	0	0	0	2	0	0	2	1	1	0	1	NA	1	0	0	1	1	1	1	1	0	0	0	1	1	1	0	2	0	0
CAL_105502_P001_WA12	 7.3.9	7.Yates	Valley	Low	-115.053825	51.038728	118	213	177	93	9.100000381	19.5	7.800000191	-3.599999905	-3.400000095	5.599999905	-4.800000191	-15.10000038	0.0617	-0.080778	1	1	1	2	1	1	1	1	1	0	0	0	0	NA	NA	0	0	NA	NA	0	0	0	0	0	1	1	1	1	NA	0	1
CAL_105502_P001_WB01	 6.2.5	8.Old Baldy	S	High	-115.131753	50.892411	107	187	161	113	7.699999809	18.10000038	6.099999905	-5	-4.400000095	4.900000095	-5.800000191	-15.89999962	0.322	0.0104043	0	0	2	0	2	0	0	0	0	0	2	0	0	1	0	0	0	1	1	0	0	NA	0	0	0	0	0	0	1	1	0
CAL_105502_P001_WB02	 7.2.14	7.Yates	N	High	-115.053825	51.038728	118	213	177	93	9.100000381	19.5	7.800000191	-3.599999905	-3.400000095	5.599999905	-4.800000191	-15.10000038	0.0617	0.011762	NA	NA	NA	0	2	0	0	0	0	1	1	0	1	NA	0	0	0	1	1	1	1	0	0	0	1	1	NA	0	2	0	0
CAL_105502_P001_WB03	 3.3.13	3.Bell	S	High	-116.024544	51.305969	158	182	118	187	5.699999809	17.60000038	6	-6	-5.099999905	4.199999809	-5.900000095	-17.10000038	0.548	0.00686774	0	0	2	0	2	NA	NA	1	1	0	0	0	0	0	0	0	0	0	1	1	1	0	NA	0	1	2	1	1	1	0	1
CAL_105502_P001_WB04	 8.3.9	1.Emerald	Valley	Low	-116.540603	51.435322	204	247	137	262	5.099999905	16.89999962	5.5	-6.199999809	-4.800000191	4.300000191	-5.699999809	-15.80000019	0.82	0.0210013	0	0	1	1	1	1	1	1	1	NA	NA	NA	NA	0	2	0	0	0	1	NA	NA	0	1	0	NA	0	0	0	NA	0	0
CAL_105502_P001_WB05	 6.2.9	8.Old Baldy	S	High	-115.131753	50.892411	107	187	161	113	7.699999809	18.10000038	6.099999905	-5	-4.400000095	4.900000095	-5.800000191	-15.89999962	0.322	0.0491895	0	0	2	0	2	0	0	NA	NA	2	1	0	1	1	0	0	0	0	1	0	0	1	1	2	0	0	0	1	1	0	1
CAL_105502_P001_WB06	 2.2.1	5.Cascade	Valley	Low	-115.504167	51.248633	108	163	111	102	7	17.79999924	6.099999905	-5.199999809	-4.699999809	4.5	-5.800000191	-16.29999924	0.111	-0.0932629	0	1	0	2	0	1	1	2	2	2	1	0	1	1	1	1	0	0	1	0	0	0	NA	0	0	0	0	NA	1	0	1
CAL_105502_P001_WB07	 1.2.13	4.Norquay	S	High	-115.586944	51.190178	81	127	89	70	7.400000095	18.39999962	6.599999905	-5	-4.5	4.599999905	-5.5	-16	0.0772	0.0276647	0	0	1	0	2	0	0	0	0	0	2	0	0	1	0	0	0	0	1	0	0	2	1	2	0	0	0	0	1	1	0
CAL_105502_P001_WB08	 4.2.13	6.Canmore	S	High	-115.329208	51.050556	98	183	144	88	7.800000191	18.29999924	6.5	-4.800000191	-4.400000095	4.800000191	-5.5	-16	0.121	-0.0604824	0	0	0	2	0	0	0	2	0	NA	1	0	1	1	0	0	0	1	1	1	1	0	0	NA	NA	NA	NA	NA	1	0	1
CAL_105502_P001_WB09	 7.2.15	7.Yates	N	High	-115.053825	51.038728	118	213	177	93	9.100000381	19.5	7.800000191	-3.599999905	-3.400000095	5.599999905	-4.800000191	-15.10000038	0.0617	0.0415316	0	0	2	0	2	0	0	0	0	1	1	0	1	1	0	0	0	1	1	1	1	1	0	0	1	1	1	0	1	1	0
CAL_105502_P001_WB10	 2.2.5	5.Cascade	Valley	Low	-115.504167	51.248633	108	163	111	102	7	17.79999924	6.099999905	-5.199999809	-4.699999809	4.5	-5.800000191	-16.29999924	0.111	-0.0829421	0	1	0	1	0	2	1	2	2	NA	0	0	2	0	2	2	0	0	2	0	0	0	2	0	0	0	0	2	0	0	2
CAL_105502_P001_WB11	 7.2.4	7.Yates	N	High	-115.053825	51.038728	118	213	177	93	9.100000381	19.5	7.800000191	-3.599999905	-3.400000095	5.599999905	-4.800000191	-15.10000038	0.0617	0.00746152	0	0	0	2	0	0	0	2	2	1	0	0	NA	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	2	0
CAL_105502_P001_WB12	 7.2.13	7.Yates	N	High	-115.053825	51.038728	118	213	177	93	9.100000381	19.5	7.800000191	-3.599999905	-3.400000095	5.599999905	-4.800000191	-15.10000038	0.0617	0.0277529	NA	NA	0	2	0	1	1	2	0	NA	0	0	2	0	1	1	0	0	1	0	0	0	1	0	1	0	0	NA	0	0	2
CAL_105502_P001_WC01	 1.2.1	4.Norquay	S	High	-115.586944	51.190178	81	127	89	70	7.400000095	18.39999962	6.599999905	-5	-4.5	4.599999905	-5.5	-16	0.0772	0.0357767	NA	NA	NA	NA	0	0	0	0	0	NA	1	0	1	1	0	0	0	0	1	0	0	1	1	0	0	0	0	0	0	1	1
CAL_105502_P001_WC02	 9.3.9	2.Cathedral	N	High	-116.327133	51.445664	297	291	200	350	2.200000048	14.30000019	3.299999952	-7.800000191	-5.5	3.700000048	-6.699999809	-16.60000038	0.873	0.0410858	0	0	0	0	2	0	0	NA	1	0	2	0	0	2	0	0	1	0	0	1	2	0	0	0	2	2	2	1	1	1	1
CAL_105502_P001_WC03	 6.1.5	8.Old Baldy	N	High	-115.131753	50.892411	107	187	161	113	7.699999809	18.10000038	6.099999905	-5	-4.400000095	4.900000095	-5.800000191	-15.89999962	0.322	0.0518879	0	0	0	1	1	0	0	0	0	0	2	0	0	2	0	0	0	0	1	0	0	0	0	0	1	1	0	0	1	0	1
CAL_105502_P001_WC04	 1.3.9	4.Norquay	Valley	Low	-115.586944	51.190178	81	127	89	70	7.400000095	18.39999962	6.599999905	-5	-4.5	4.599999905	-5.5	-16	0.0772	-0.0899456	2	2	0	2	0	2	2	2	2	2	0	0	2	0	2	1	0	0	2	0	0	0	2	NA	0	0	NA	NA	0	0	2
CAL_105502_P001_WC05	 8.3.1	1.Emerald	Valley	Low	-116.540603	51.435322	204	247	137	262	5.099999905	16.89999962	5.5	-6.199999809	-4.800000191	4.300000191	-5.699999809	-15.80000019	0.82	0.00543949	NA	NA	1	1	0	1	1	1	1	0	1	0	0	1	0	0	0	NA	1	1	1	0	0	0	2	2	2	0	2	0	0
CAL_105502_P001_WC06	 7.3.1	7.Yates	Valley	Low	-115.053825	51.038728	118	213	177	93	9.100000381	19.5	7.800000191	-3.599999905	-3.400000095	5.599999905	-4.800000191	-15.10000038	0.0617	-0.0768967	0	0	0	2	0	1	1	1	0	NA	0	0	2	0	1	1	0	0	1	0	0	0	1	0	0	0	0	2	0	0	2
CAL_105502_P001_WC07	 9.1.9	2.Cathedral	Valley	Low	-116.327133	51.445664	297	291	200	350	2.200000048	14.30000019	3.299999952	-7.800000191	-5.5	3.700000048	-6.699999809	-16.60000038	0.873	0.0482295	0	0	2	0	2	0	0	0	0	0	NA	0	0	2	0	0	0	0	0	1	1	1	0	0	1	1	1	NA	1	0	0
CAL_105502_P001_WC08	 1.3.5	4.Norquay	Valley	Low	-115.586944	51.190178	81	127	89	70	7.400000095	18.39999962	6.599999905	-5	-4.5	4.599999905	-5.5	-16	0.0772	-0.0682844	0	2	0	2	0	2	2	2	2	NA	1	1	1	1	0	0	1	1	1	0	NA	0	0	0	2	1	1	0	2	0	0
CAL_105502_P001_WC09	 7.3.5	7.Yates	Valley	Low	-115.053825	51.038728	118	213	177	93	9.100000381	19.5	7.800000191	-3.599999905	-3.400000095	5.599999905	-4.800000191	-15.10000038	0.0617	-0.0797246	0	0	1	2	0	0	0	1	1	NA	1	0	1	1	1	1	0	0	1	0	0	0	1	0	0	0	0	2	0	0	2
CAL_105502_P001_WC10	 9.1.5	2.Cathedral	Valley	Low	-116.327133	51.445664	297	291	200	350	2.200000048	14.30000019	3.299999952	-7.800000191	-5.5	3.700000048	-6.699999809	-16.60000038	0.873	0.0171455	2	2	0	2	1	1	1	0	0	1	1	0	1	1	0	0	0	0	0	1	1	0	0	0	1	0	0	NA	2	0	0
CAL_105502_P001_WC11	 1.3.1	4.Norquay	Valley	Low	-115.586944	51.190178	81	127	89	70	7.400000095	18.39999962	6.599999905	-5	-4.5	4.599999905	-5.5	-16	0.0772	-0.0542256	2	2	0	2	0	2	2	2	2	1	1	0	1	1	1	1	0	0	1	1	1	0	1	0	1	NA	NA	2	0	0	2
CAL_105502_P001_WC12	 3.2.13	3.Bell	N	High	-116.024544	51.305969	158	182	118	187	5.699999809	17.60000038	6	-6	-5.099999905	4.199999809	-5.900000095	-17.10000038	0.548	0.0530868	0	0	0	2	0	0	0	1	0	1	1	1	1	1	0	0	1	1	1	1	1	0	0	0	1	1	1	0	NA	0	NA
CAL_105502_P001_WD01	 7.1.5	7.Yates	S	High	-115.053825	51.038728	118	213	177	93	9.100000381	19.5	7.800000191	-3.599999905	-3.400000095	5.599999905	-4.800000191	-15.10000038	0.0617	-0.0208036	0	2	0	2	0	2	2	2	2	1	1	1	1	1	0	0	1	1	1	0	1	0	0	0	2	2	2	NA	1	0	1
CAL_105502_P001_WD02	 6.2.13	8.Old Baldy	S	High	-115.131753	50.892411	107	187	161	113	7.699999809	18.10000038	6.099999905	-5	-4.400000095	4.900000095	-5.800000191	-15.89999962	0.322	0.032453	0	0	0	2	0	1	1	2	1	1	NA	0	1	1	NA	NA	0	NA	NA	0	NA	0	1	0	0	1	0	2	0	0	1
CAL_105502_P001_WD03	 1.1.13	4.Norquay	N	High	-115.586944	51.190178	81	127	89	70	7.400000095	18.39999962	6.599999905	-5	-4.5	4.599999905	-5.5	-16	0.0772	0.00657722	0	0	0	2	0	0	0	2	0	0	0	0	0	1	1	0	1	NA	1	0	1	0	0	0	NA	NA	NA	NA	2	0	1
CAL_105502_P001_WD04	 6.3.9	8.Old Baldy	Valley	Low	-115.131753	50.892411	107	187	161	113	7.699999809	18.10000038	6.099999905	-5	-4.400000095	4.900000095	-5.800000191	-15.89999962	0.322	-0.0662574	0	0	1	NA	1	0	0	1	1	0	1	0	0	1	0	0	0	1	1	1	1	0	0	NA	NA	NA	NA	1	1	0	1
CAL_105502_P001_WD05	 2.3.10	5.Cascade	S	High	-115.504167	51.248633	108	163	111	102	7	17.79999924	6.099999905	-5.199999809	-4.699999809	4.5	-5.800000191	-16.29999924	0.111	-0.0799051	2	2	0	2	0	2	2	2	2	0	2	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	2
CAL_105502_P001_WD06	 6.3.5	8.Old Baldy	Valley	Low	-115.131753	50.892411	107	187	161	113	7.699999809	18.10000038	6.099999905	-5	-4.400000095	4.900000095	-5.800000191	-15.89999962	0.322	-0.0530206	0	0	0	2	0	0	0	2	1	2	1	0	1	1	NA	1	0	1	1	0	0	0	1	0	0	0	0	2	0	0	2
CAL_105502_P001_WD07	 8.1.5	1.Emerald	S	High	-116.540603	51.435322	204	247	137	262	5.099999905	16.89999962	5.5	-6.199999809	-4.800000191	4.300000191	-5.699999809	-15.80000019	0.82	0.0380167	0	0	2	0	2	0	0	0	0	0	2	0	0	NA	0	0	0	0	0	0	0	2	0	0	0	0	0	1	1	1	NA
CAL_105502_P001_WD08	 2.2.9	5.Cascade	Valley	Low	-115.504167	51.248633	108	163	111	102	7	17.79999924	6.099999905	-5.199999809	-4.699999809	4.5	-5.800000191	-16.29999924	0.111	-0.0495131	0	2	0	2	0	2	2	2	1	2	0	0	2	0	2	2	0	0	2	0	0	0	2	NA	NA	NA	NA	2	0	0	2
CAL_105502_P001_WD09	 4.2.1	6.Canmore	S	High	-115.329208	51.050556	98	183	144	88	7.800000191	18.29999924	6.5	-4.800000191	-4.400000095	4.800000191	-5.5	-16	0.121	-0.0684931	2	2	0	2	0	1	1	2	0	2	0	0	2	0	1	2	0	0	1	0	0	0	2	NA	NA	NA	NA	2	0	0	2
CAL_105502_P001_WD10	 9.2.13	2.Cathedral	S	High	-116.327133	51.445664	297	291	200	350	2.200000048	14.30000019	3.299999952	-7.800000191	-5.5	3.700000048	-6.699999809	-16.60000038	0.873	0.036483	NA	NA	NA	NA	NA	0	0	1	NA	0	2	0	0	2	0	0	0	0	1	0	1	NA	0	0	2	2	NA	0	0	1	0
CAL_105502_P001_WD11	 8.1.1	1.Emerald	S	High	-116.540603	51.435322	204	247	137	262	5.099999905	16.89999962	5.5	-6.199999809	-4.800000191	4.300000191	-5.699999809	-15.80000019	0.82	0.0447657	0	0	NA	0	NA	0	0	0	0	NA	NA	0	NA	1	0	0	0	1	2	0	0	0	0	0	1	1	0	0	1	1	0
CAL_105502_P001_WD12	 8.2.1	1.Emerald	N	High	-116.540603	51.435322	204	247	137	262	5.099999905	16.89999962	5.5	-6.199999809	-4.800000191	4.300000191	-5.699999809	-15.80000019	0.82	0.0486753	0	0	2	0	2	0	0	0	0	1	1	0	1	NA	0	0	0	1	1	1	1	0	0	0	1	1	1	0	1	1	0
CAL_105502_P001_WE01	 8.1.13	1.Emerald	S	High	-116.540603	51.435322	204	247	137	262	5.099999905	16.89999962	5.5	-6.199999809	-4.800000191	4.300000191	-5.699999809	-15.80000019	0.82	0.0556864	0	0	2	0	2	0	0	0	0	NA	NA	NA	NA	0	0	0	0	0	1	1	1	0	0	0	NA	NA	NA	0	2	0	0
CAL_105502_P001_WE02	 3.1.13	3.Bell	Valley	Low	-116.024544	51.305969	158	182	118	187	5.699999809	17.60000038	6	-6	-5.099999905	4.199999809	-5.900000095	-17.10000038	0.548	0.0178349	0	0	2	0	2	0	0	1	1	1	1	1	1	1	0	0	1	1	1	0	1	0	1	1	1	1	1	0	2	0	0
CAL_105502_P001_WE03	 8.2.13	1.Emerald	N	High	-116.540603	51.435322	204	247	137	262	5.099999905	16.89999962	5.5	-6.199999809	-4.800000191	4.300000191	-5.699999809	-15.80000019	0.82	0.0533644	0	0	0	2	0	1	0	0	0	NA	2	0	0	2	0	0	0	0	0	NA	NA	NA	0	0	0	0	0	0	1	1	0
CAL_105502_P001_WE04	 2.2.13	5.Cascade	Valley	Low	-115.504167	51.248633	108	163	111	102	7	17.79999924	6.099999905	-5.199999809	-4.699999809	4.5	-5.800000191	-16.29999924	0.111	-0.00799829	0	NA	2	0	2	0	0	0	0	0	1	0	1	1	0	0	0	1	1	1	1	0	0	NA	2	2	2	NA	1	0	0
CAL_105502_P001_WE05	 6.1.13	8.Old Baldy	N	High	-115.131753	50.892411	107	187	161	113	7.699999809	18.10000038	6.099999905	-5	-4.400000095	4.900000095	-5.800000191	-15.89999962	0.322	0.0301861	0	0	0	NA	NA	1	0	2	2	1	1	0	1	1	0	0	0	1	NA	0	0	0	0	0	1	1	0	0	1	0	0
CAL_105502_P001_WE06	 1.1.5	4.Norquay	N	High	-115.586944	51.190178	81	127	89	70	7.400000095	18.39999962	6.599999905	-5	-4.5	4.599999905	-5.5	-16	0.0772	0.0525293	0	0	2	0	2	0	0	0	0	1	1	1	1	1	0	0	1	1	1	1	1	0	0	0	2	2	1	0	1	NA	0
CAL_105502_P001_WE07	 3.1.9	3.Bell	Valley	Low	-116.024544	51.305969	158	182	118	187	5.699999809	17.60000038	6	-6	-5.099999905	4.199999809	-5.900000095	-17.10000038	0.548	-0.00127663	0	0	1	0	1	1	0	0	0	0	1	0	0	1	0	0	0	0	1	1	1	0	0	0	NA	2	1	0	2	0	0
CAL_105502_P001_WE08	 6.3.13	8.Old Baldy	Valley	Low	-115.131753	50.892411	107	187	161	113	7.699999809	18.10000038	6.099999905	-5	-4.400000095	4.900000095	-5.800000191	-15.89999962	0.322	-0.0595898	1	1	1	1	1	1	1	1	1	1	1	0	1	1	1	1	0	1	1	0	0	0	0	0	0	0	0	NA	1	0	1
CAL_105502_P001_WE09	 2.3.1	5.Cascade	S	High	-115.504167	51.248633	108	163	111	102	7	17.79999924	6.099999905	-5.199999809	-4.699999809	4.5	-5.800000191	-16.29999924	0.111	-0.0503529	0	0	1	1	1	0	0	1	0	0	1	0	1	1	0	0	0	1	1	1	1	0	0	0	2	NA	2	NA	1	1	0
CAL_105502_P001_WE10	 1.1.9	4.Norquay	N	High	-115.586944	51.190178	81	127	89	70	7.400000095	18.39999962	6.599999905	-5	-4.5	4.599999905	-5.5	-16	0.0772	0.0453027	0	0	0	2	0	NA	0	1	2	NA	2	0	0	NA	NA	0	0	0	1	1	1	0	0	0	0	NA	NA	NA	1	0	1
CAL_105502_P001_WE11	 8.2.5	1.Emerald	N	High	-116.540603	51.435322	204	247	137	262	5.099999905	16.89999962	5.5	-6.199999809	-4.800000191	4.300000191	-5.699999809	-15.80000019	0.82	0.0533539	0	0	1	1	1	1	1	0	0	0	2	0	0	2	0	0	0	0	0	0	0	2	0	0	0	0	0	2	0	1	1
CAL_105502_P001_WE12	 2.3.14	5.Cascade	S	High	-115.504167	51.248633	108	163	111	102	7	17.79999924	6.099999905	-5.199999809	-4.699999809	4.5	-5.800000191	-16.29999924	0.111	-0.0862102	NA	NA	NA	NA	NA	0	0	0	0	2	0	0	2	0	1	1	0	0	2	0	0	0	2	NA	NA	NA	NA	2	0	1	2
CAL_105502_P001_WF01	 1.2.9	4.Norquay	S	High	-115.586944	51.190178	81	127	89	70	7.400000095	18.39999962	6.599999905	-5	-4.5	4.599999905	-5.5	-16	0.0772	0.0512456	NA	NA	NA	NA	NA	NA	2	NA	NA	NA	2	NA	0	NA	0	0	1	1	1	0	1	NA	0	0	0	0	0	0	1	1	0
CAL_105502_P001_WF02	 7.1.1	7.Yates	S	High	-115.053825	51.038728	118	213	177	93	9.100000381	19.5	7.800000191	-3.599999905	-3.400000095	5.599999905	-4.800000191	-15.10000038	0.0617	-0.0699696	0	1	0	1	0	2	1	1	1	2	0	0	1	1	0	0	0	0	0	0	0	0	0	0	2	0	0	2	0	0	2
CAL_105502_P001_WF03	 1.2.5	4.Norquay	S	High	-115.586944	51.190178	81	127	89	70	7.400000095	18.39999962	6.599999905	-5	-4.5	4.599999905	-5.5	-16	0.0772	0.0228706	0	0	0	2	0	1	1	2	2	2	0	0	2	0	0	0	0	1	1	1	1	1	0	0	2	2	2	0	NA	1	0
CAL_105502_P001_WF04	 3.1.5	3.Bell	Valley	Low	-116.024544	51.305969	158	182	118	187	5.699999809	17.60000038	6	-6	-5.099999905	4.199999809	-5.900000095	-17.10000038	0.548	0.0289443	0	0	2	0	2	0	0	1	0	NA	1	0	1	1	1	1	0	1	1	0	0	1	1	0	0	0	0	1	0	1	1
CAL_105502_P001_WF05	 9.2.5	2.Cathedral	S	High	-116.327133	51.445664	297	291	200	350	2.200000048	14.30000019	3.299999952	-7.800000191	-5.5	3.700000048	-6.699999809	-16.60000038	0.873	0.0543566	NA	NA	0	1	1	1	1	0	0	2	1	0	NA	1	1	1	0	1	1	1	1	0	1	0	1	1	1	1	1	0	1
CAL_105502_P001_WF06	 4.2.5	6.Canmore	S	High	-115.329208	51.050556	98	183	144	88	7.800000191	18.29999924	6.5	-4.800000191	-4.400000095	4.800000191	-5.5	-16	0.121	-0.0562252	NA	2	0	2	0	2	2	2	2	2	NA	NA	NA	0	2	2	0	0	2	0	0	0	2	0	NA	NA	NA	2	0	0	2
CAL_105502_P001_WF07	 6.2.1	8.Old Baldy	S	High	-115.131753	50.892411	107	187	161	113	7.699999809	18.10000038	6.099999905	-5	-4.400000095	4.900000095	-5.800000191	-15.89999962	0.322	0.0471618	0	0	1	0	2	0	0	0	0	0	1	0	NA	1	0	0	0	1	1	1	1	0	0	0	NA	1	NA	0	2	0	0
CAL_105502_P001_WF08	 2.1.1	5.Cascade	N	High	-115.504167	51.248633	108	163	111	102	7	17.79999924	6.099999905	-5.199999809	-4.699999809	4.5	-5.800000191	-16.29999924	0.111	0.0514733	0	0	2	0	2	0	0	0	NA	1	1	1	1	1	0	0	1	1	1	0	1	0	1	1	1	1	1	0	2	0	0
CAL_105502_P001_WF09	 3.1.1	3.Bell	Valley	Low	-116.024544	51.305969	158	182	118	187	5.699999809	17.60000038	6	-6	-5.099999905	4.199999809	-5.900000095	-17.10000038	0.548	-0.0646011	NA	NA	NA	2	0	0	0	2	0	2	0	0	2	NA	1	1	1	1	1	0	1	0	1	0	0	0	0	0	2	0	0
CAL_105502_P001_WF10	 7.3.13	7.Yates	Valley	Low	-115.053825	51.038728	118	213	177	93	9.100000381	19.5	7.800000191	-3.599999905	-3.400000095	5.599999905	-4.800000191	-15.10000038	0.0617	-0.0858792	0	2	0	2	0	2	1	NA	NA	NA	0	0	NA	0	NA	1	0	0	1	0	0	0	NA	0	NA	NA	NA	2	0	0	2
CAL_105502_P001_WF11	 9.3.5	2.Cathedral	N	High	-116.327133	51.445664	297	291	200	350	2.200000048	14.30000019	3.299999952	-7.800000191	-5.5	3.700000048	-6.699999809	-16.60000038	0.873	0.0516666	0	0	1	1	1	1	1	0	0	1	1	1	1	1	0	0	1	1	1	0	1	1	0	0	1	1	1	0	1	0	1
CAL_105502_P001_WF12	 4.3.13	6.Canmore	Valley	Low	-115.329208	51.050556	98	183	144	88	7.800000191	18.29999924	6.5	-4.800000191	-4.400000095	4.800000191	-5.5	-16	0.121	-0.0747017	2	2	0	2	0	2	2	2	2	NA	1	0	1	1	1	1	0	0	1	0	0	0	1	0	0	0	0	2	0	0	2
